{1.00040520, 1.00046623}
{1.00055064, 1.00059966}
{1.00078316, 1.00053788}
{1.00021614, 1.00040537}
{1.00064016, 1.00069158}
{1.00089099, 1.00088245}
{1.00095169, 1.00078264}
{1.00033197, 1.00089877}
{1.00048529, 1.00082184}
{1.00043879, 1.00056871}
{1.00059593, 1.00001969}
{1.00094459, 1.00082594}
{1.00046701, 1.00032188}
{1.00092076, 1.00071082}
{1.00016156, 1.00066819}
{1.00052218, 1.00042047}
{1.00019095, 1.00001421}
{1.00031511, 1.00020364}
{1.00052343, 1.00053235}
{1.00012902, 1.00008149}
{1.00044043, 1.00008403}
{1.00050550, 1.00061844}
{1.00028921, 1.00059284}
{1.00043752, 1.00036718}
{1.00090296, 1.00096290}
{1.00001916, 1.00058898}
{1.00052700, 1.00042330}
{1.00030324, 1.00089935}
{1.00009241, 1.00016436}
{1.00075143, 1.00008738}
{1.00065525, 1.00064718}
{1.00035035, 1.00038209}
{1.00097799, 1.00088365}
{1.00065044, 1.00061780}
{1.00004778, 1.00048789}
{1.00061632, 1.00049274}
{1.00096601, 1.00024310}
{1.00051616, 1.00037924}
{1.00044964, 1.00050903}
{1.00068843, 1.00036368}
{1.00055043, 1.00008361}
{1.00079221, 1.00004682}
{1.00056122, 1.00030680}
{1.00023414, 1.00074321}
{1.00080998, 1.00092159}
{1.00026043, 1.00018012}
{1.00042426, 1.00020523}
{1.00067654, 1.00020849}
{1.00031451, 1.00036299}
{1.00066567, 1.00019898}
{1.00061632, 1.00091240}
{1.00023114, 1.00011435}
{1.00095111, 1.00037146}
{1.00042663, 1.00070143}
{1.00096653, 1.00053577}
{1.00031126, 1.00067691}
{1.00067300, 1.00069550}
{1.00042828, 1.00036114}
{1.00095012, 1.00075136}
{1.00073960, 1.00088808}
{1.00044000, 1.00018112}
{1.00042946, 1.00067757}
{1.00056212, 1.00040638}
{1.00038159, 1.00040228}
{1.00029980, 1.00037187}
{1.00081810, 1.00032045}
{1.00024002, 1.00018854}
{1.00014037, 1.00016667}
{1.00061461, 1.00026625}
{1.00033609, 1.00070223}
{1.00049238, 1.00015697}
{1.00090647, 1.00016500}
{1.00066687, 1.00063119}
{1.00021878, 1.00045021}
{1.00008075, 1.00014100}
{1.00016903, 1.00025576}
{1.00077655, 1.00097893}
{1.00024142, 1.00022566}
{1.00062857, 1.00001708}
{1.00058718, 1.00023894}
{1.00055072, 1.00080610}
{1.00056793, 1.00098976}
{1.00058617, 1.00006366}
{1.00082203, 1.00068824}
{1.00096856, 1.00051230}
{1.00022356, 1.00044077}
{1.00081142, 1.00010242}
{1.00052221, 1.00025285}
{1.00001558, 1.00078948}
{1.00006042, 1.00006824}
{1.00074638, 1.00097703}
{1.00049429, 1.00023971}
{1.00011072, 1.00054851}
{1.00099030, 1.00031051}
{1.00086224, 1.00027604}
{1.00056006, 1.00065060}
{1.00077171, 1.00053190}
{1.00036000, 1.00025562}
{1.00034310, 1.00092263}
{1.00087427, 1.00081892}
