{0.00525304, 0.00375050}
{0.00317041, 0.00573655}
{0.00881652, 0.00802447}
{0.00890478, 0.00152286}
{0.00473315, 0.00706411}
{0.00955013, 0.00226163}
{0.00000184, 0.00691820}
{0.00607838, 0.00925424}
{0.00533096, 0.00725491}
{0.00508974, 0.00153731}
{0.00951635, 0.00043536}
{0.00489660, 0.00640687}
{0.00661748, 0.00709163}
{0.00387529, 0.00836925}
{0.00099237, 0.00720315}
{0.00808206, 0.00611125}
{0.00952064, 0.00211926}
{0.00767389, 0.00306508}
{0.00236247, 0.00500157}
{0.00552861, 0.00968313}
{0.00484276, 0.00549382}
{0.00697751, 0.00630117}
{0.00346375, 0.00503161}
{0.00003532, 0.00931435}
{0.00904786, 0.00984902}
{0.00473178, 0.00123219}
{0.00653337, 0.00108142}
{0.00697901, 0.00618895}
{0.00016774, 0.00958408}
{0.00668654, 0.00985841}
{0.00279771, 0.00279603}
{0.00094973, 0.00879311}
{0.00227440, 0.00355213}
{0.00329573, 0.00307208}
{0.00392750, 0.00826680}
{0.00350428, 0.00993285}
{0.00052941, 0.00506101}
{0.00000949, 0.00005626}
{0.00058099, 0.00637612}
{0.00647498, 0.00914735}
{0.00313103, 0.00999634}
{0.00752720, 0.00485351}
{0.00944699, 0.00094098}
{0.00713586, 0.00110031}
{0.00226376, 0.00140868}
{0.00852368, 0.00947498}
{0.00233504, 0.00847954}
{0.00347233, 0.00495955}
{0.00777485, 0.00802690}
{0.00986257, 0.00298695}
{0.00230226, 0.00725344}
{0.00230799, 0.00673394}
{0.00584602, 0.00684149}
{0.00707014, 0.00259308}
{0.00381297, 0.00686899}
{0.00251522, 0.00868575}
{0.00020081, 0.00331204}
{0.00769554, 0.00553127}
{0.00672679, 0.00763758}
{0.00254467, 0.00057523}
{0.00269652, 0.00205074}
{0.00918402, 0.00861146}
{0.00380401, 0.00111316}
{0.00916844, 0.00552791}
{0.00989567, 0.00752811}
{0.00416234, 0.00881995}
{0.00729360, 0.00633043}
{0.00533598, 0.00528371}
{0.00777905, 0.00820425}
{0.00774570, 0.00562831}
{0.00675054, 0.00679204}
{0.00801859, 0.00385892}
{0.00942600, 0.00361313}
{0.00359626, 0.00975734}
{0.00663013, 0.00331376}
{0.00655265, 0.00538150}
{0.00992204, 0.00068185}
{0.00679722, 0.00348087}
{0.00061452, 0.00017709}
{0.00698081, 0.00149414}
{0.00670939, 0.00295484}
{0.00213932, 0.00681369}
{0.00590612, 0.00475828}
{0.00716298, 0.00100240}
{0.00490135, 0.00348616}
{0.00049209, 0.00376861}
{0.00961367, 0.00258886}
{0.00968002, 0.00133034}
{0.00353548, 0.00623479}
{0.00148972, 0.00779885}
{0.00802761, 0.00359299}
{0.00093234, 0.00354031}
{0.00029568, 0.00236918}
{0.00119724, 0.00755852}
{0.00249425, 0.00043688}
{0.00227302, 0.00935072}
{0.00449290, 0.00817069}
{0.00238920, 0.00516762}
{0.00531850, 0.00243310}
{0.00125323, 0.00886232}
