(-0.360489,0.932777)
(0.111028,-0.993833)
(0.921899,-0.387399)
(-0.129405,0.991583)
(-0.796750,0.604337)
(0.780660,0.624957)
(0.226039,0.974099)
(0.148965,-0.988823)
(-0.113413,-0.993508)
(-0.644137,0.764904)
(-0.544299,-0.838940)
(-0.013976,-0.999912)
(0.665532,-0.746379)
(0.615597,0.788212)
(0.329198,-0.944217)
(0.879347,-0.476262)
(0.198483,-0.980115)
(0.650400,-0.759601)
(-0.930404,0.366646)
(-0.137094,-0.990508)
(-0.378446,-0.925497)
(0.776398,-0.630249)
(0.022131,0.999732)
(-0.491098,0.871063)
(0.373896,-0.927501)
(-0.300756,0.953764)
(0.123364,-0.992303)
(-0.992220,0.125048)
(-0.142175,0.989911)
(-0.596769,-0.802327)
(0.418103,-0.908441)
(0.052339,0.998724)
(0.315109,0.948926)
(-0.500423,-0.865868)
(0.453193,0.891427)
(-0.088892,0.996020)
(-0.822769,0.568354)
(-0.893966,-0.448102)
(-0.961650,-0.274221)
(0.551744,0.834002)
(-0.146583,0.989231)
(-0.960612,-0.278337)
(0.724171,-0.689621)
(0.006873,-0.999994)
(-0.475386,-0.879761)
(0.662898,-0.748706)
(0.212163,-0.977214)
(-0.850451,-0.526016)
(0.197165,0.980407)
(0.197419,0.980351)
(-0.778020,-0.628064)
(-0.169355,-0.985468)
(-0.394467,0.918923)
(0.916306,0.400688)
(-0.731551,-0.681958)
(-0.859425,0.511226)
(0.777996,0.628385)
(-0.531781,0.846863)
(0.834834,0.550581)
(-0.695527,-0.718308)
(0.124881,0.992112)
(-0.008654,0.999902)
(-0.264558,-0.964274)
(-0.005217,1.000050)
(-0.171602,0.985211)
(-0.313739,-0.949601)
(-0.297397,-0.954760)
(0.276566,0.960938)
(-0.053885,-0.998610)
(0.333306,-0.942876)
(0.131159,0.991360)
(0.998611,0.052514)
(0.503753,0.863965)
(0.487919,0.872936)
(-0.118136,-0.993029)
(-0.459972,0.887928)
(-0.596190,0.802850)
(0.070683,0.997513)
(0.956191,0.293115)
(-0.896960,0.442098)
(-0.689846,-0.723821)
(-0.156522,0.987712)
(-0.829138,-0.558821)
(0.965155,-0.261877)
(0.252460,-0.967585)
(-0.183629,-0.982929)
(-0.075920,-0.997050)
(0.582778,0.812714)
(0.239226,0.970986)
(0.927371,0.374253)
(-0.940752,0.338936)
(-0.127630,0.991887)
(0.667858,-0.744283)
(-0.372594,0.928010)
(-0.081632,0.996590)
(-0.966216,-0.257691)
(-0.900827,-0.434256)
(-0.837730,0.546036)
(-0.070511,-0.997486)
(-0.458506,-0.888728)
New coordinates are: (-0.000113,0.000100)
radius is 1.000187
